chr	start	end	ENSG	transcript	regionType
chr6	107210571	107212108	ENSG00000164494	ENST00000369037.9	intron
chr6	107212283	107245547	ENSG00000164494	ENST00000369037.9	intron
chr6	107245620	107274028	ENSG00000164494	ENST00000369037.9	intron
chr6	107274228	107334197	ENSG00000164494	ENST00000369037.9	intron
chr6	107334333	107458989	ENSG00000164494	ENST00000369037.9	intron
chr6	107459565	107459764	ENSG00000164494	ENST00000369037.9	CorePromoter
chr6	107459765	107464564	ENSG00000164494	ENST00000369037.9	ExtendedPromoter
chr2	46941726	46950362	ENSG00000068724	ENST00000319190.11	Intron
chr2	46950527	46956838	ENSG00000068724	ENST00000319190.11	Intron
chr2	46957008	46974972	ENSG00000068724	ENST00000319190.11	Intron
chr2	46975104	46978791	ENSG00000068724	ENST00000319190.11	Intron
chr2	46978908	46993449	ENSG00000068724	ENST00000319190.11	Intron
chr2	46993529	46994356	ENSG00000068724	ENST00000319190.11	Intron
chr2	46994515	46995135	ENSG00000068724	ENST00000319190.11	Intron
chr2	46995200	47005921	ENSG00000068724	ENST00000319190.11	Intron
chr2	47006060	47006640	ENSG00000068724	ENST00000319190.11	Intron
chr2	47006725	47011330	ENSG00000068724	ENST00000319190.11	Intron
chr2	47011436	47021861	ENSG00000068724	ENST00000319190.11	Intron
chr2	47021980	47023407	ENSG00000068724	ENST00000319190.11	Intron
chr2	47023466	47024286	ENSG00000068724	ENST00000319190.11	Intron
chr2	47024360	47029223	ENSG00000068724	ENST00000319190.11	Intron
chr2	47029385	47046314	ENSG00000068724	ENST00000319190.11	Intron
chr2	47046432	47049948	ENSG00000068724	ENST00000319190.11	Intron
chr2	47050047	47051745	ENSG00000068724	ENST00000319190.11	Intron
chr2	47051881	47060768	ENSG00000068724	ENST00000319190.11	Intron
chr2	47060972	47073701	ENSG00000068724	ENST00000319190.11	Intron
chr2	46941024	46941223	ENSG00000068724	ENST00000319190.11	CorePromoter
chr2	46936224	46941023	ENSG00000068724	ENST00000319190.11	ExtendedPromoter
chr2	233761152	233767033	ENSG00000241635	ENST00000305208.10	Intron
chr2	233767166	233767848	ENSG00000241635	ENST00000305208.10	Intron
chr2	233767937	233768219	ENSG00000241635	ENST00000305208.10	Intron
chr2	233768440	233772261	ENSG00000241635	ENST00000305208.10	Intron
chr2	233760070	233760269	ENSG00000241635	ENST00000305208.10	CorePromoter
chr2	233755270	233760069	ENSG00000241635	ENST00000305208.10	ExtendedPromoter
chr17	50346276	50353629	ENSG00000015532	ENST00000017003.7	Intron
chr17	50354123	50354407	ENSG00000015532	ENST00000017003.7	Intron
chr17	50354584	50354853	ENSG00000015532	ENST00000017003.7	Intron
chr17	50355057	50355500	ENSG00000015532	ENST00000017003.7	Intron
chr17	50355582	50355780	ENSG00000015532	ENST00000017003.7	Intron
chr17	50355998	50356084	ENSG00000015532	ENST00000017003.7	Intron
chr17	50356262	50356510	ENSG00000015532	ENST00000017003.7	Intron
chr17	50356774	50357056	ENSG00000015532	ENST00000017003.7	Intron
chr17	50357253	50358206	ENSG00000015532	ENST00000017003.7	Intron
chr17	50358541	50359968	ENSG00000015532	ENST00000017003.7	Intron
chr17	50345926	50346125	ENSG00000015532	ENST00000017003.7	CorePromoter
chr17	50341126	50345925	ENSG00000015532	ENST00000017003.7	ExtendedPromoter
chr6	101393838	101398984	ENSG00000164418	ENST00000369134.9	5primeUTRIntron
chr6	101399393	101621948	ENSG00000164418	ENST00000369134.9	Intron
chr6	101622117	101626379	ENSG00000164418	ENST00000369134.9	Intron
chr6	101626638	101676622	ENSG00000164418	ENST00000369134.9	Intron
chr6	101676805	101682552	ENSG00000164418	ENST00000369134.9	Intron
chr6	101682607	101686179	ENSG00000164418	ENST00000369134.9	Intron
chr6	101686354	101799647	ENSG00000164418	ENST00000369134.9	Intron
chr6	101799792	101802330	ENSG00000164418	ENST00000369134.9	Intron
chr6	101802439	101818369	ENSG00000164418	ENST00000369134.9	Intron
chr6	101818484	101859286	ENSG00000164418	ENST00000369134.9	Intron
chr6	101859494	101889639	ENSG00000164418	ENST00000369134.9	Intron
chr6	101889864	101924600	ENSG00000164418	ENST00000369134.9	Intron
chr6	101924720	101928414	ENSG00000164418	ENST00000369134.9	Intron
chr6	101928633	102035340	ENSG00000164418	ENST00000369134.9	Intron
chr6	102035567	102055329	ENSG00000164418	ENST00000369134.9	Intron
chr6	102055581	102068346	ENSG00000164418	ENST00000369134.9	Intron
chr6	101393508	101393707	ENSG00000164418	ENST00000369134.9	CorePromoter
chr6	101388708	101393507	ENSG00000164418	ENST00000369134.9	ExtendedPromoter
chr9	3828409	3829309	ENSG00000107249	ENST00000381971.8	intron
chr9	3829493	3856008	ENSG00000107249	ENST00000381971.8	intron
chr9	3856185	3879426	ENSG00000107249	ENST00000381971.8	intron
chr9	3879596	3898690	ENSG00000107249	ENST00000381971.8	intron
chr9	3898836	3932359	ENSG00000107249	ENST00000381971.8	intron
chr9	3932471	3937027	ENSG00000107249	ENST00000381971.8	intron
chr9	3937190	4117767	ENSG00000107249	ENST00000381971.8	intron
chr9	4118882	4125733	ENSG00000107249	ENST00000381971.8	intron
chr9	4125942	4286037	ENSG00000107249	ENST00000381971.8	intron
chr9	4286524	4299420	ENSG00000107249	ENST00000381971.8	5primeUTRIntron
chr9	4300069	4300268	ENSG00000107249	ENST00000381971.8	CorePromoter
chr9	4300269	4305068	ENSG00000107249	ENST00000381971.8	ExtendedPromoter
chr8	38144387	38145221	ENSG00000147465	ENST00000276449.9	intron
chr8	38145316	38145962	ENSG00000147465	ENST00000276449.9	intron
chr8	38146148	38146288	ENSG00000147465	ENST00000276449.9	intron
chr8	38146448	38148199	ENSG00000147465	ENST00000276449.9	intron
chr8	38148328	38148640	ENSG00000147465	ENST00000276449.9	intron
chr8	38148755	38150754	ENSG00000147465	ENST00000276449.9	intron
chr8	38150953	38151152	ENSG00000147465	ENST00000276449.9	CorePromoter
chr8	38151153	38155952	ENSG00000147465	ENST00000276449.9	ExtendedPromoter
chr3	51983590	51984046	ENSG00000243989	ENST00000636358.2	5primeUTRIntron
chr3	51984159	51985206	ENSG00000243989	ENST00000636358.2	Intron
chr3	51985272	51985360	ENSG00000243989	ENST00000636358.2	Intron
chr3	51985466	51985851	ENSG00000243989	ENST00000636358.2	Intron
chr3	51985947	51986254	ENSG00000243989	ENST00000636358.2	Intron
chr3	51986332	51986414	ENSG00000243989	ENST00000636358.2	Intron
chr3	51986505	51986604	ENSG00000243989	ENST00000636358.2	Intron
chr3	51986662	51986987	ENSG00000243989	ENST00000636358.2	Intron
chr3	51987062	51987146	ENSG00000243989	ENST00000636358.2	Intron
chr3	51987197	51987308	ENSG00000243989	ENST00000636358.2	Intron
chr3	51987454	51987555	ENSG00000243989	ENST00000636358.2	Intron
chr3	51987625	51988523	ENSG00000243989	ENST00000636358.2	Intron
chr3	51988604	51988765	ENSG00000243989	ENST00000636358.2	Intron
chr3	51988827	51988910	ENSG00000243989	ENST00000636358.2	Intron
chr3	51983335	51983534	ENSG00000243989	ENST00000636358.2	CorePromoter
chr3	51978535	51983334	ENSG00000243989	ENST00000636358.2	ExtendedPromoter
chr4	25124226	25125693	ENSG00000109618	ENST00000382103.7	intron
chr4	25125785	25127263	ENSG00000109618	ENST00000382103.7	intron
chr4	25127358	25144773	ENSG00000109618	ENST00000382103.7	intron
chr4	25144866	25145003	ENSG00000109618	ENST00000382103.7	intron
chr4	25145134	25151959	ENSG00000109618	ENST00000382103.7	intron
chr4	25152063	25154997	ENSG00000109618	ENST00000382103.7	intron
chr4	25155152	25156036	ENSG00000109618	ENST00000382103.7	intron
chr4	25156196	25156855	ENSG00000109618	ENST00000382103.7	intron
chr4	25156975	25158952	ENSG00000109618	ENST00000382103.7	intron
chr4	25159108	25160255	ENSG00000109618	ENST00000382103.7	intron
chr4	25160450	25160649	ENSG00000109618	ENST00000382103.7	CorePromoter
chr4	25160650	25165449	ENSG00000109618	ENST00000382103.7	ExtendedPromoter
chr6	146030218	146159347	ENSG00000152822	ENST00000282753.6	Intron
chr6	146159598	146304610	ENSG00000152822	ENST00000282753.6	Intron
chr6	146304847	146352249	ENSG00000152822	ENST00000282753.6	Intron
chr6	146352497	146357525	ENSG00000152822	ENST00000282753.6	Intron
chr6	146357695	146386889	ENSG00000152822	ENST00000282753.6	Intron
chr6	146387017	146398768	ENSG00000152822	ENST00000282753.6	Intron
chr6	146399700	146433871	ENSG00000152822	ENST00000282753.6	Intron
chr6	146028862	146029061	ENSG00000152822	ENST00000282753.6	CorePromoter
chr6	146024062	146028861	ENSG00000152822	ENST00000282753.6	ExtendedPromoter
chr15	89244034	89247628	ENSG00000140525	ENST00000310775.12	5primeUTRIntron
chr15	89247732	89258703	ENSG00000140525	ENST00000310775.12	Intron
chr15	89258777	89260712	ENSG00000140525	ENST00000310775.12	Intron
chr15	89260844	89261584	ENSG00000140525	ENST00000310775.12	Intron
chr15	89261742	89261820	ENSG00000140525	ENST00000310775.12	Intron
chr15	89261879	89263418	ENSG00000140525	ENST00000310775.12	Intron
chr15	89263461	89263902	ENSG00000140525	ENST00000310775.12	Intron
chr15	89264027	89264521	ENSG00000140525	ENST00000310775.12	Intron
chr15	89264608	89268398	ENSG00000140525	ENST00000310775.12	Intron
chr15	89268526	89273376	ENSG00000140525	ENST00000310775.12	Intron
chr15	89273470	89274167	ENSG00000140525	ENST00000310775.12	Intron
chr15	89274305	89276710	ENSG00000140525	ENST00000310775.12	Intron
chr15	89276892	89278686	ENSG00000140525	ENST00000310775.12	Intron
chr15	89278775	89281169	ENSG00000140525	ENST00000310775.12	Intron
chr15	89281301	89281764	ENSG00000140525	ENST00000310775.12	Intron
chr15	89281836	89283135	ENSG00000140525	ENST00000310775.12	Intron
chr15	89283251	89285095	ENSG00000140525	ENST00000310775.12	Intron
chr15	89285219	89290212	ENSG00000140525	ENST00000310775.12	Intron
chr15	89290282	89291612	ENSG00000140525	ENST00000310775.12	Intron
chr15	89291715	89292687	ENSG00000140525	ENST00000310775.12	Intron
chr15	89292865	89292941	ENSG00000140525	ENST00000310775.12	Intron
chr15	89293064	89293832	ENSG00000140525	ENST00000310775.12	Intron
chr15	89293998	89294914	ENSG00000140525	ENST00000310775.12	Intron
chr15	89295095	89299799	ENSG00000140525	ENST00000310775.12	Intron
chr15	89299967	89300299	ENSG00000140525	ENST00000310775.12	Intron
chr15	89300386	89301325	ENSG00000140525	ENST00000310775.12	Intron
chr15	89301443	89303863	ENSG00000140525	ENST00000310775.12	Intron
chr15	89303916	89305114	ENSG00000140525	ENST00000310775.12	Intron
chr15	89305243	89305340	ENSG00000140525	ENST00000310775.12	Intron
chr15	89305410	89305604	ENSG00000140525	ENST00000310775.12	Intron
chr15	89305699	89306006	ENSG00000140525	ENST00000310775.12	Intron
chr15	89306195	89307475	ENSG00000140525	ENST00000310775.12	Intron
chr15	89307530	89307612	ENSG00000140525	ENST00000310775.12	Intron
chr15	89307673	89312903	ENSG00000140525	ENST00000310775.12	Intron
chr15	89312973	89314611	ENSG00000140525	ENST00000310775.12	Intron
chr15	89314708	89315281	ENSG00000140525	ENST00000310775.12	Intron
chr15	89315390	89316396	ENSG00000140525	ENST00000310775.12	Intron
chr15	89243779	89243978	ENSG00000140525	ENST00000310775.12	CorePromoter
chr15	89238979	89243778	ENSG00000140525	ENST00000310775.12	ExtendedPromoter
chr2	218659744	218660938	ENSG00000074582	ENST00000359273.8	5primeUTRIntron
chr2	218661308	218661405	ENSG00000074582	ENST00000359273.8	Intron
chr2	218661546	218661758	ENSG00000074582	ENST00000359273.8	Intron
chr2	218661954	218662196	ENSG00000074582	ENST00000359273.8	Intron
chr2	218662261	218662509	ENSG00000074582	ENST00000359273.8	Intron
chr2	218662680	218662882	ENSG00000074582	ENST00000359273.8	Intron
chr2	218663001	218663133	ENSG00000074582	ENST00000359273.8	Intron
chr2	218659483	218659682	ENSG00000074582	ENST00000359273.8	CorePromoter
chr2	218654683	218659482	ENSG00000074582	ENST00000359273.8	ExtendedPromoter
chr3	50341486	50341573	ENSG00000004838	ENST00000231749.8	intron
chr3	50341700	50341809	ENSG00000004838	ENST00000231749.8	intron
chr3	50341932	50342014	ENSG00000004838	ENST00000231749.8	intron
chr3	50342141	50342396	ENSG00000004838	ENST00000231749.8	intron
chr3	50342570	50342917	ENSG00000004838	ENST00000231749.8	intron
chr3	50343019	50343117	ENSG00000004838	ENST00000231749.8	intron
chr3	50343207	50343306	ENSG00000004838	ENST00000231749.8	intron
chr3	50343445	50343562	ENSG00000004838	ENST00000231749.8	intron
chr3	50343617	50343733	ENSG00000004838	ENST00000231749.8	intron
chr3	50343851	50345123	ENSG00000004838	ENST00000231749.8	intron
chr3	50345233	50345487	ENSG00000004838	ENST00000231749.8	intron
chr3	50345733	50345932	ENSG00000004838	ENST00000231749.8	CorePromoter
chr3	50345933	50350732	ENSG00000004838	ENST00000231749.8	ExtendedPromoter
chr22	42619946	42623788	ENSG00000100243	ENST00000352397.10	intron
chr22	42623889	42627303	ENSG00000100243	ENST00000352397.10	intron
chr22	42627390	42627604	ENSG00000100243	ENST00000352397.10	intron
chr22	42627689	42628151	ENSG00000100243	ENST00000352397.10	intron
chr22	42628282	42630881	ENSG00000100243	ENST00000352397.10	intron
chr22	42630989	42631377	ENSG00000100243	ENST00000352397.10	intron
chr22	42631451	42636714	ENSG00000100243	ENST00000352397.10	intron
chr22	42636847	42649294	ENSG00000100243	ENST00000352397.10	intron
chr22	42649393	42649592	ENSG00000100243	ENST00000352397.10	CorePromoter
chr22	42649593	42654392	ENSG00000100243	ENST00000352397.10	ExtendedPromoter
chr15	90999055	90999676	ENSG00000184056	ENST00000333371.8	intron
chr15	90999794	90999899	ENSG00000184056	ENST00000333371.8	intron
chr15	90999976	91000489	ENSG00000184056	ENST00000333371.8	intron
chr15	91000592	91001388	ENSG00000184056	ENST00000333371.8	intron
chr15	91001463	91002049	ENSG00000184056	ENST00000333371.8	intron
chr15	91002183	91003084	ENSG00000184056	ENST00000333371.8	intron
chr15	91003132	91004876	ENSG00000184056	ENST00000333371.8	intron
chr15	91004932	91005054	ENSG00000184056	ENST00000333371.8	intron
chr15	91005120	91005379	ENSG00000184056	ENST00000333371.8	intron
chr15	91005455	91005693	ENSG00000184056	ENST00000333371.8	intron
chr15	91005785	91005972	ENSG00000184056	ENST00000333371.8	intron
chr15	91006060	91006371	ENSG00000184056	ENST00000333371.8	intron
chr15	91006446	91006651	ENSG00000184056	ENST00000333371.8	intron
chr15	91006730	91006949	ENSG00000184056	ENST00000333371.8	intron
chr15	91007047	91007468	ENSG00000184056	ENST00000333371.8	intron
chr15	91007574	91007869	ENSG00000184056	ENST00000333371.8	intron
chr15	91007965	91009800	ENSG00000184056	ENST00000333371.8	intron
chr15	91009847	91013803	ENSG00000184056	ENST00000333371.8	intron
chr15	91013872	91014383	ENSG00000184056	ENST00000333371.8	intron
chr15	91014434	91016962	ENSG00000184056	ENST00000333371.8	intron
chr15	91017025	91017804	ENSG00000184056	ENST00000333371.8	intron
chr15	91017886	91022153	ENSG00000184056	ENST00000333371.8	intron
chr15	91022595	91022794	ENSG00000184056	ENST00000333371.8	CorePromoter
chr15	91022795	91027594	ENSG00000184056	ENST00000333371.8	ExtendedPromoter
chr12	14973087	14977971	ENSG00000139053	ENST00000266395.3	5primeUTRIntron
chr12	14978147	14979178	ENSG00000139053	ENST00000266395.3	Intron
chr12	14979220	14981399	ENSG00000139053	ENST00000266395.3	Intron
chr12	14972842	14973041	ENSG00000139053	ENST00000266395.3	CorePromoter
chr12	14968042	14972841	ENSG00000139053	ENST00000266395.3	ExtendedPromoter
chr22	20859348	20870336	ENSG00000099940	ENST00000215730.12	Intron
chr22	20870534	20881048	ENSG00000099940	ENST00000215730.12	Intron
chr22	20881135	20883470	ENSG00000099940	ENST00000215730.12	Intron
chr22	20883570	20887678	ENSG00000099940	ENST00000215730.12	Intron
chr22	20858807	20859006	ENSG00000099940	ENST00000215730.12	CorePromoter
chr22	20854007	20858806	ENSG00000099940	ENST00000215730.12	ExtendedPromoter
chr16	4797502	4797713	ENSG00000067836	ENST00000322048.12	intron
chr16	4797841	4797937	ENSG00000067836	ENST00000322048.12	intron
chr16	4797988	4798070	ENSG00000067836	ENST00000322048.12	intron
chr16	4798185	4798568	ENSG00000067836	ENST00000322048.12	intron
chr16	4798668	4799685	ENSG00000067836	ENST00000322048.12	intron
chr16	4799782	4800497	ENSG00000067836	ENST00000322048.12	intron
chr16	4800579	4801266	ENSG00000067836	ENST00000322048.12	intron
chr16	4801322	4801502	ENSG00000067836	ENST00000322048.12	intron
chr16	4801586	4802381	ENSG00000067836	ENST00000322048.12	intron
chr16	4802454	4802526	ENSG00000067836	ENST00000322048.12	intron
chr16	4802634	4802833	ENSG00000067836	ENST00000322048.12	CorePromoter
chr16	4802834	4807633	ENSG00000067836	ENST00000322048.12	ExtendedPromoter
chr17	80036692	80038122	ENSG00000141519	ENST00000397545.9	Intron
chr17	80038187	80039811	ENSG00000141519	ENST00000397545.9	Intron
chr17	80040271	80047278	ENSG00000141519	ENST00000397545.9	Intron
chr17	80047403	80048582	ENSG00000141519	ENST00000397545.9	Intron
chr17	80048762	80049905	ENSG00000141519	ENST00000397545.9	Intron
chr17	80049990	80050063	ENSG00000141519	ENST00000397545.9	Intron
chr17	80050284	80058493	ENSG00000141519	ENST00000397545.9	Intron
chr17	80058652	80058857	ENSG00000141519	ENST00000397545.9	Intron
chr17	80058981	80065484	ENSG00000141519	ENST00000397545.9	Intron
chr17	80065607	80081545	ENSG00000141519	ENST00000397545.9	Intron
chr17	80081790	80081875	ENSG00000141519	ENST00000397545.9	Intron
chr17	80082059	80084742	ENSG00000141519	ENST00000397545.9	Intron
chr17	80084989	80086002	ENSG00000141519	ENST00000397545.9	Intron
chr17	80086217	80087606	ENSG00000141519	ENST00000397545.9	Intron
chr17	80087777	80088010	ENSG00000141519	ENST00000397545.9	Intron
chr17	80088103	80089763	ENSG00000141519	ENST00000397545.9	Intron
chr17	80089885	80095262	ENSG00000141519	ENST00000397545.9	Intron
chr17	80095452	80097244	ENSG00000141519	ENST00000397545.9	Intron
chr17	80097404	80099526	ENSG00000141519	ENST00000397545.9	Intron
chr17	80036442	80036641	ENSG00000141519	ENST00000397545.9	CorePromoter
chr17	80031642	80036441	ENSG00000141519	ENST00000397545.9	ExtendedPromoter
chr19	11420948	11421127	ENSG00000198003	ENST00000356392.9	intron
chr19	11421213	11421676	ENSG00000198003	ENST00000356392.9	intron
chr19	11421833	11422470	ENSG00000198003	ENST00000356392.9	intron
chr19	11422628	11422700	ENSG00000198003	ENST00000356392.9	intron
chr19	11422862	11423876	ENSG00000198003	ENST00000356392.9	intron
chr19	11424030	11426143	ENSG00000198003	ENST00000356392.9	intron
chr19	11426267	11426445	ENSG00000198003	ENST00000356392.9	intron
chr19	11426572	11426682	ENSG00000198003	ENST00000356392.9	intron
chr19	11426785	11426872	ENSG00000198003	ENST00000356392.9	intron
chr19	11427041	11430698	ENSG00000198003	ENST00000356392.9	intron
chr19	11430777	11430898	ENSG00000198003	ENST00000356392.9	intron
chr19	11431021	11434772	ENSG00000198003	ENST00000356392.9	intron
chr19	11435122	11435321	ENSG00000198003	ENST00000356392.9	CorePromoter
chr19	11435322	11440121	ENSG00000198003	ENST00000356392.9	ExtendedPromoter
chr1	54999364	55005021	ENSG00000162399	ENST00000651561.1	Intron
chr1	55005117	55006996	ENSG00000162399	ENST00000651561.1	Intron
chr1	55007273	55008213	ENSG00000162399	ENST00000651561.1	Intron
chr1	54998733	54998932	ENSG00000162399	ENST00000651561.1	CorePromoter
chr1	54993933	54998732	ENSG00000162399	ENST00000651561.1	ExtendedPromoter
chr6	131573340	131576662	ENSG00000118520	ENST00000368087.8	Intron
chr6	131576736	131579110	ENSG00000118520	ENST00000368087.8	Intron
chr6	131579286	131581218	ENSG00000118520	ENST00000368087.8	Intron
chr6	131581379	131582620	ENSG00000118520	ENST00000368087.8	Intron
chr6	131582716	131583059	ENSG00000118520	ENST00000368087.8	Intron
chr6	131583165	131583354	ENSG00000118520	ENST00000368087.8	Intron
chr6	131583492	131583741	ENSG00000118520	ENST00000368087.8	Intron
chr6	131573026	131573225	ENSG00000118520	ENST00000368087.8	CorePromoter
chr6	131568226	131573025	ENSG00000118520	ENST00000368087.8	ExtendedPromoter
chr20	44619848	44620298	ENSG00000196839	ENST00000372874.9	intron
chr20	44620402	44621017	ENSG00000196839	ENST00000372874.9	intron
chr20	44621148	44622587	ENSG00000196839	ENST00000372874.9	intron
chr20	44622653	44622828	ENSG00000196839	ENST00000372874.9	intron
chr20	44622931	44623006	ENSG00000196839	ENST00000372874.9	intron
chr20	44623079	44624201	ENSG00000196839	ENST00000372874.9	intron
chr20	44624330	44625568	ENSG00000196839	ENST00000372874.9	intron
chr20	44625685	44626455	ENSG00000196839	ENST00000372874.9	intron
chr20	44626600	44629046	ENSG00000196839	ENST00000372874.9	intron
chr20	44629170	44636226	ENSG00000196839	ENST00000372874.9	intron
chr20	44636289	44651574	ENSG00000196839	ENST00000372874.9	intron
chr20	44651700	44651899	ENSG00000196839	ENST00000372874.9	CorePromoter
chr20	44651900	44656699	ENSG00000196839	ENST00000372874.9	ExtendedPromoter
chr2	174748256	174748579	ENSG00000138435	ENST00000348749.9	intron
chr2	174748820	174749945	ENSG00000138435	ENST00000348749.9	intron
chr2	174750170	174753502	ENSG00000138435	ENST00000348749.9	intron
chr2	174753741	174754218	ENSG00000138435	ENST00000348749.9	intron
chr2	174754415	174757565	ENSG00000138435	ENST00000348749.9	intron
chr2	174757676	174759330	ENSG00000138435	ENST00000348749.9	intron
chr2	174759376	174759487	ENSG00000138435	ENST00000348749.9	intron
chr2	174759634	174764351	ENSG00000138435	ENST00000348749.9	intron
chr2	174764473	174764672	ENSG00000138435	ENST00000348749.9	CorePromoter
chr2	174764673	174769472	ENSG00000138435	ENST00000348749.9	ExtendedPromoter
chr14	102363117	102376649	ENSG00000196663	ENST00000359520.12	5primeUTRIntron
chr14	102376941	102407337	ENSG00000196663	ENST00000359520.12	Intron
chr14	102407467	102408487	ENSG00000196663	ENST00000359520.12	Intron
chr14	102408620	102414635	ENSG00000196663	ENST00000359520.12	Intron
chr14	102414794	102424978	ENSG00000196663	ENST00000359520.12	Intron
chr14	102425292	102428249	ENSG00000196663	ENST00000359520.12	Intron
chr14	102428383	102431795	ENSG00000196663	ENST00000359520.12	Intron
chr14	102432129	102434234	ENSG00000196663	ENST00000359520.12	Intron
chr14	102435212	102438021	ENSG00000196663	ENST00000359520.12	Intron
chr14	102438206	102440435	ENSG00000196663	ENST00000359520.12	Intron
chr14	102440610	102443646	ENSG00000196663	ENST00000359520.12	Intron
chr14	102443828	102445805	ENSG00000196663	ENST00000359520.12	Intron
chr14	102445948	102449628	ENSG00000196663	ENST00000359520.12	Intron
chr14	102449870	102450559	ENSG00000196663	ENST00000359520.12	Intron
chr14	102450650	102452393	ENSG00000196663	ENST00000359520.12	Intron
chr14	102452628	102465140	ENSG00000196663	ENST00000359520.12	Intron
chr14	102465290	102496978	ENSG00000196663	ENST00000359520.12	Intron
chr14	102497121	102497569	ENSG00000196663	ENST00000359520.12	Intron
chr14	102497720	102498102	ENSG00000196663	ENST00000359520.12	Intron
chr14	102362741	102362940	ENSG00000196663	ENST00000359520.12	CorePromoter
chr14	102357941	102362740	ENSG00000196663	ENST00000359520.12	ExtendedPromoter
chr17	3636832	3637106	ENSG00000040531	ENST00000046640.9	5primeUTRIntron
chr17	3637317	3640187	ENSG00000040531	ENST00000046640.9	5primeUTRIntron
chr17	3640268	3647443	ENSG00000040531	ENST00000046640.9	Intron
chr17	3647523	3648846	ENSG00000040531	ENST00000046640.9	Intron
chr17	3648932	3654997	ENSG00000040531	ENST00000046640.9	Intron
chr17	3655102	3655220	ENSG00000040531	ENST00000046640.9	Intron
chr17	3655353	3656486	ENSG00000040531	ENST00000046640.9	Intron
chr17	3656587	3656675	ENSG00000040531	ENST00000046640.9	Intron
chr17	3656796	3658004	ENSG00000040531	ENST00000046640.9	Intron
chr17	3658176	3659857	ENSG00000040531	ENST00000046640.9	Intron
chr17	3659976	3660235	ENSG00000040531	ENST00000046640.9	Intron
chr17	3636560	3636759	ENSG00000040531	ENST00000046640.9	CorePromoter
chr17	3631760	3636559	ENSG00000040531	ENST00000046640.9	ExtendedPromoter
chr3	187220262	187221034	ENSG00000127241	ENST00000337774.10	intron
chr3	187221135	187223126	ENSG00000127241	ENST00000337774.10	intron
chr3	187223195	187225323	ENSG00000127241	ENST00000337774.10	intron
chr3	187225510	187226406	ENSG00000127241	ENST00000337774.10	intron
chr3	187226521	187229759	ENSG00000127241	ENST00000337774.10	intron
chr3	187229898	187241480	ENSG00000127241	ENST00000337774.10	intron
chr3	187241556	187243483	ENSG00000127241	ENST00000337774.10	intron
chr3	187243622	187250250	ENSG00000127241	ENST00000337774.10	intron
chr3	187250330	187251633	ENSG00000127241	ENST00000337774.10	intron
chr3	187251753	187253167	ENSG00000127241	ENST00000337774.10	intron
chr3	187253316	187256663	ENSG00000127241	ENST00000337774.10	intron
chr3	187256861	187260740	ENSG00000127241	ENST00000337774.10	intron
chr3	187260873	187262542	ENSG00000127241	ENST00000337774.10	intron
chr3	187262721	187285824	ENSG00000127241	ENST00000337774.10	intron
chr3	187286057	187291627	ENSG00000127241	ENST00000337774.10	intron
chr3	187291738	187291937	ENSG00000127241	ENST00000337774.10	CorePromoter
chr3	187291938	187296737	ENSG00000127241	ENST00000337774.10	ExtendedPromoter
chr21	41741998	41743881	ENSG00000183421	ENST00000332512.8	intron
chr21	41744141	41745758	ENSG00000183421	ENST00000332512.8	intron
chr21	41745863	41746612	ENSG00000183421	ENST00000332512.8	intron
chr21	41746772	41749153	ENSG00000183421	ENST00000332512.8	intron
chr21	41749204	41751096	ENSG00000183421	ENST00000332512.8	intron
chr21	41751246	41756524	ENSG00000183421	ENST00000332512.8	intron
chr21	41756817	41766859	ENSG00000183421	ENST00000332512.8	intron
chr21	41767053	41767252	ENSG00000183421	ENST00000332512.8	CorePromoter
chr21	41767253	41772052	ENSG00000183421	ENST00000332512.8	ExtendedPromoter
chr12	53307714	53307844	ENSG00000094914	ENST00000209873.9	intron
chr12	53307930	53308051	ENSG00000094914	ENST00000209873.9	intron
chr12	53308134	53308281	ENSG00000094914	ENST00000209873.9	intron
chr12	53308350	53308434	ENSG00000094914	ENST00000209873.9	intron
chr12	53308529	53308724	ENSG00000094914	ENST00000209873.9	intron
chr12	53308816	53308959	ENSG00000094914	ENST00000209873.9	intron
chr12	53309021	53309156	ENSG00000094914	ENST00000209873.9	intron
chr12	53309282	53309600	ENSG00000094914	ENST00000209873.9	intron
chr12	53309722	53314297	ENSG00000094914	ENST00000209873.9	intron
chr12	53314442	53314750	ENSG00000094914	ENST00000209873.9	intron
chr12	53314850	53315093	ENSG00000094914	ENST00000209873.9	intron
chr12	53315141	53315334	ENSG00000094914	ENST00000209873.9	intron
chr12	53315427	53315726	ENSG00000094914	ENST00000209873.9	intron
chr12	53315783	53320564	ENSG00000094914	ENST00000209873.9	intron
chr12	53320693	53321342	ENSG00000094914	ENST00000209873.9	intron
chr12	53321611	53321810	ENSG00000094914	ENST00000209873.9	CorePromoter
chr12	53321811	53326610	ENSG00000094914	ENST00000209873.9	ExtendedPromoter
chr14	91273654	91277921	ENSG00000015133	ENST00000389857.11	intron
chr14	91278212	91279237	ENSG00000015133	ENST00000389857.11	intron
chr14	91279307	91281456	ENSG00000015133	ENST00000389857.11	intron
chr14	91281526	91283328	ENSG00000015133	ENST00000389857.11	intron
chr14	91283518	91289104	ENSG00000015133	ENST00000389857.11	intron
chr14	91289344	91290994	ENSG00000015133	ENST00000389857.11	intron
